id,project,gl organization,budget authority,commitments,obligations,expenditures,disbursements,funds available,oligation rate,expenditure rate,ledger name,dbscan labels,dbscan identifier,dbscan category,dbscan isolation labels,dbscan isolation anomaly identifier,dbscan isolation anomaly category,optics labels,optics identifier,optics category,optics isolation labels,optics isolation anomaly identifier,optics isolation anomaly category,hdbscan labels,hdbscan identifier,hdbscan category,hdbscan isolation labels,hdbscan isolation anomaly identifier,hdbscan isolation anomaly category,anomaly identifier,anomaly detector,fraud identifier,fraud detector,fraud measures,LINEAR cooks distance score,LINEAR cooks distance identifier,LINEAR cooks category,RIDGE cooks distance score,RIDGE cooks distance identifier,RIDGE cooks distance category,LASSO cooks distance score,LASSO cooks distance identifier,LASSO cooks distance category
28,NDU_FED_26,CSO,8500000.0,71730.87,23052.0,0.0,0.0,8405217.13,0.002712,0.0,TJS SET OF BOOKS,2,0,Not anomaly,-1,1,Anomaly,3,0,Not anomaly,-1,1,Anomaly,0,0,Not anomaly,-1,1,Anomaly,3,critical,1,is fraud,0.1363636363636363,64.33385107441438,1,Outlier,64.33385107441438,1,Outlier,64.33385107441438,1,Outlier
29,NDU_HF_26,AA,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,2,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,7.198162775101262e-05,0,Not outlier,7.198162775101262e-05,0,Not outlier,7.198162775101262e-05,0,Not outlier
30,NDU_HRD_26,CSO,150000.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,TJS SET OF BOOKS,2,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,1.2013423752930085e-07,0,Not outlier,1.2013423752930085e-07,0,Not outlier,1.2013423752930083e-07,0,Not outlier
31,NDU_INSS_26,INSS,100000.0,0.0,17371.32,0.0,0.0,82628.68,0.1737132,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,-1,1,Anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,3.664786080966557,1,Outlier,3.664786080966557,1,Outlier,3.664786080966557,1,Outlier
32,NDU_ISMO_26,ISMO,40000.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,2,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,5.117808219592445e-05,0,Not outlier,5.117808219592445e-05,0,Not outlier,5.117808219592445e-05,0,Not outlier
33,NDU_ITD_26,CSO,7000000.0,929301.57,2880522.04,33278.22,33278.22,3156898.17,0.41625718,0.0047540314285714,TJS SET OF BOOKS,-1,1,Anomaly,-1,1,Anomaly,-1,1,Anomaly,-1,1,Anomaly,-1,1,Anomaly,-1,1,Anomaly,3,critical,1,is fraud,0.1363636363636363,8.237338617575232e+29,0,Not outlier,8.237338617575232e+29,0,Not outlier,8.237338617575232e+29,0,Not outlier
34,NDU_JFSC_26,JFSC,470000.0,0.0,737.18,0.0,0.0,469262.82,0.0015684680851063,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0001163568119461,0,Not outlier,0.0001163568119461,0,Not outlier,0.00011635681194616213,0,Not outlier
35,NDU_LIB_26,AA,850000.0,0.0,0.0,0.0,0.0,850000.0,0.0,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,2,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0006322813837026,0,Not outlier,0.0006322813837026,0,Not outlier,0.0006322813837026757,0,Not outlier
36,NDU_NDUP_26,COS,25000.0,0.0,615.54,0.0,0.0,24384.46,0.0246216,0.0,TJS SET OF BOOKS,1,0,Not anomaly,1,0,Not anomaly,2,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,4.216121823033881e-05,0,Not outlier,4.216121823033881e-05,0,Not outlier,4.216121823033881e-05,0,Not outlier
37,NDU_NDWC_26,AA,50000.0,0.0,1426.81,0.0,0.0,48573.19,0.0285362,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,0,0,Not anomaly,1,0,Not anomaly,2,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,2.574059653795166e-06,0,Not outlier,2.574059653795166e-06,0,Not outlier,2.574059653795166e-06,0,Not outlier
38,NDU_NWC_26,NWC,70000.0,0.0,6963.38,0.0,0.0,63036.62,0.0994768571428571,0.0,TJS SET OF BOOKS,0,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,0.0331572759402402,0,Not outlier,0.0331572759402402,0,Not outlier,0.03315727594024026,0,Not outlier
39,NDU_OPS_26,CSO,130000.0,4504.85,11268.59,0.0,0.0,114226.56,0.0866814615384615,0.0,TJS SET OF BOOKS,2,0,Not anomaly,-1,1,Anomaly,3,0,Not anomaly,-1,1,Anomaly,0,0,Not anomaly,-1,1,Anomaly,3,critical,1,is fraud,0.1363636363636363,0.0066190567563333,0,Not outlier,0.0066190567563333,0,Not outlier,0.006619056756333359,0,Not outlier
40,NDU_ORF_26,COS,25000.01,0.0,0.0,0.0,0.0,25000.01,0.0,0.0,TJS SET OF BOOKS,1,0,Not anomaly,1,0,Not anomaly,2,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,0,none,0,not fraud,0.1363636363636363,2.9579801470373702e-06,0,Not outlier,2.9579801470373702e-06,0,Not outlier,2.9579801470373702e-06,0,Not outlier
41,NDU_PROC_26,COS,230000.0,225000.0,0.0,0.0,0.0,5000.0,0.0,0.0,TJS SET OF BOOKS,1,0,Not anomaly,-1,1,Anomaly,2,0,Not anomaly,-1,1,Anomaly,1,0,Not anomaly,-1,1,Anomaly,3,critical,1,is fraud,0.1363636363636363,0.0114974115784523,0,Not outlier,0.0114974115784523,0,Not outlier,0.011497411578452358,0,Not outlier
42,NDU_RES_26,COS,2450220.0,0.0,0.0,0.0,0.0,2450220.0,0.0,0.0,TJS SET OF BOOKS,1,0,Not anomaly,-1,1,Anomaly,2,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,0,Not anomaly,1,low,0,not fraud,0.1363636363636363,8.237338617575232e+29,1,Outlier,8.237338617575232e+29,1,Outlier,8.237338617575232e+29,1,Outlier
43,NDU_RMD_26,COS,560000.0,0.0,300000.0,0.0,0.0,260000.0,0.535714285714286,0.0,TJS SET OF BOOKS,1,0,Not anomaly,-1,1,Anomaly,2,0,Not anomaly,-1,1,Anomaly,1,0,Not anomaly,-1,1,Anomaly,3,critical,1,is fraud,0.1363636363636363,1358.392186721143,1,Outlier,1358.392186721143,1,Outlier,1358.392186721143,1,Outlier
44,NDU_SEC_26,CSO,500000.0,145000.0,0.0,0.0,0.0,355000.0,0.0,0.0,TJS SET OF BOOKS,2,0,Not anomaly,1,0,Not anomaly,3,0,Not anomaly,-1,1,Anomaly,0,0,Not anomaly,-1,1,Anomaly,2,medium,0,not fraud,0.1363636363636363,8.237338617575232e+29,0,Not outlier,8.237338617575232e+29,0,Not outlier,8.237338617575232e+29,0,Not outlier
