id,project number,task number,expenditure type,class category,class code,budget authority,commitments,obligations,non labor expenditures,labor expenditures,total expenditures,funds used,funds available
84,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,781.52,781.52,781.52,-781.52
85,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-267.13,-267.13,-267.13,267.13
86,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,3102.32,3102.32,3102.32,-3102.32
87,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,1050.05,1050.05,1050.05,-1050.05
88,,,121.5-TSP,,,0.0,0.0,0.0,0.0,3279.42,3279.42,3279.42,-3279.42
89,,,121.6-FERS,,,0.0,0.0,0.0,0.0,12677.43,12677.43,12677.43,-12677.43
90,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,155.12,155.12,155.12,-155.12
91,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,3342.85,3342.85,3342.85,-3342.85
92,,,,,,209954.8,0.0,0.0,0.0,0.0,0.0,0.0,209954.8
93,NDU_CIVPAY_CSO_26 Total,,,,,209954.8,0.0,0.0,0.0,114059.98,114059.98,114059.98,95894.82
94,NDU_CIVPAY_FED_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,45569.01,45569.01,45569.01,-45569.01
95,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-7334.3,-7334.3,-7334.3,7334.3
96,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,554.67,554.67,554.67,-554.67
97,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-1329.97,-1329.97,-1329.97,1329.97
98,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,7524.16,7524.16,7524.16,-7524.16
99,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,628.35,628.35,628.35,-628.35
100,,,121.5-TSP,,,0.0,0.0,0.0,0.0,1926.81,1926.81,1926.81,-1926.81
101,,,121.6-FERS,,,0.0,0.0,0.0,0.0,8236.73,8236.73,8236.73,-8236.73
102,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,96.16,96.16,96.16,-96.16
103,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,2686.82,2686.82,2686.82,-2686.82
104,,,,,,524887.0,0.0,0.0,0.0,0.0,0.0,0.0,524887.0
105,NDU_CIVPAY_FED_26 Total,,,,,524887.0,0.0,0.0,0.0,58558.44,58558.44,58558.44,466328.56
106,NDU_CIVPAY_HRD_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,138699.14,138699.14,138699.14,-138699.14
107,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,822.89,822.89,822.89,-822.89
108,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,10771.94,10771.94,10771.94,-10771.94
109,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-1780.88,-1780.88,-1780.88,1780.88
110,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,14727.73,14727.73,14727.73,-14727.73
111,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,1995.99,1995.99,1995.99,-1995.99
112,,,121.5-TSP,,,0.0,0.0,0.0,0.0,6261.53,6261.53,6261.53,-6261.53
113,,,121.6-FERS,,,0.0,0.0,0.0,0.0,25655.9,25655.9,25655.9,-25655.9
114,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,265.52,265.52,265.52,-265.52
115,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,8534.53,8534.53,8534.53,-8534.53
116,,,,,,577375.72,0.0,0.0,0.0,0.0,0.0,0.0,577375.72
117,,0100D_0804798JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,32707.1,32707.1,32707.1,-32707.1
118,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,374.12,374.12,374.12,-374.12
119,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,2170.08,2170.08,2170.08,-2170.08
120,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-303.61,-303.61,-303.61,303.61
121,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,2749.91,2749.91,2749.91,-2749.91
122,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,323.86,323.86,323.86,-323.86
123,,,121.5-TSP,,,0.0,0.0,0.0,0.0,462.4,462.4,462.4,-462.4
124,,,121.6-FERS,,,0.0,0.0,0.0,0.0,4254.19,4254.19,4254.19,-4254.19
125,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,47.52,47.52,47.52,-47.52
126,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,1305.67,1305.67,1305.67,-1305.67
127,,,,,,104977.4,0.0,0.0,0.0,0.0,0.0,0.0,104977.4
128,NDU_CIVPAY_HRD_26 Total,,,,,682353.12,0.0,0.0,0.0,250045.53,250045.53,250045.53,432307.59
129,NDU_CIVPAY_ITD_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,297441.33,297441.33,297441.33,-297441.33
130,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,204.92,204.92,204.92,-204.92
131,,,111.3-Sick Leave Taken,,,0.0,0.0,0.0,0.0,1914.8,1914.8,1914.8,-1914.8
132,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,21252.83,21252.83,21252.83,-21252.83
133,,,111.8-Other Leave Taken,,,0.0,0.0,0.0,0.0,600.88,600.88,600.88,-600.88
134,,,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,6594.48,6594.48,6594.48,-6594.48
135,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,732.72,732.72,732.72,-732.72
136,,,115.1-Overtime Worked,,,0.0,0.0,0.0,0.0,901.32,901.32,901.32,-901.32
137,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-4121.83,-4121.83,-4121.83,4121.83
138,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,31935.35,31935.35,31935.35,-31935.35
139,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,4177.88,4177.88,4177.88,-4177.88
140,,,121.5-TSP,,,0.0,0.0,0.0,0.0,13880.67,13880.67,13880.67,-13880.67
141,,,121.6-FERS,,,0.0,0.0,0.0,0.0,51635.16,51635.16,51635.16,-51635.16
142,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,579.6,579.6,579.6,-579.6
143,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,17864.02,17864.02,17864.02,-17864.02
144,,,121.N-Retention Allowances,,,0.0,0.0,0.0,0.0,6156.56,6156.56,6156.56,-6156.56
145,,,,,,1049774.0,0.0,0.0,0.0,0.0,0.0,0.0,1049774.0
146,,0100D_0804798JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,3731.76,3731.76,3731.76,-3731.76
147,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,414.64,414.64,414.64,-414.64
148,,,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,9085.44,9085.44,9085.44,-9085.44
149,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,757.12,757.12,757.12,-757.12
150,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-274.14,-274.14,-274.14,274.14
151,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,2288.37,2288.37,2288.37,-2288.37
152,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,350.95,350.95,350.95,-350.95
153,,,121.5-TSP,,,0.0,0.0,0.0,0.0,1125.61,1125.61,1125.61,-1125.61
154,,,121.6-FERS,,,0.0,0.0,0.0,0.0,4000.57,4000.57,4000.57,-4000.57
155,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,49.28,49.28,49.28,-49.28
156,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,1394.57,1394.57,1394.57,-1394.57
157,,,,,,104977.4,0.0,0.0,0.0,0.0,0.0,0.0,104977.4
158,NDU_CIVPAY_ITD_26 Total,,,,,1154751.4,0.0,0.0,0.0,474674.86,474674.86,474674.86,680076.54
159,NDU_CIVPAY_OPS_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,207881.1,207881.1,207881.1,-207881.1
160,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-1414.04,-1414.04,-1414.04,1414.04
161,,,111.5-Admin Leave Taken,,,0.0,0.0,0.0,0.0,69.33,69.33,69.33,-69.33
162,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,11456.28,11456.28,11456.28,-11456.28
163,,,115.2-Holiday Premium,,,0.0,0.0,0.0,0.0,-505.36,-505.36,-505.36,505.36
164,,,115.9-Holiday Premium(H),,,0.0,0.0,0.0,0.0,-505.36,-505.36,-505.36,505.36
165,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-2533.39,-2533.39,-2533.39,2533.39
166,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,19441.04,19441.04,19441.04,-19441.04
167,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,2849.18,2849.18,2849.18,-2849.18
168,,,121.5-TSP,,,0.0,0.0,0.0,0.0,7869.79,7869.79,7869.79,-7869.79
169,,,121.6-FERS,,,0.0,0.0,0.0,0.0,35908.76,35908.76,35908.76,-35908.76
170,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,399.28,399.28,399.28,-399.28
171,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,12182.61,12182.61,12182.61,-12182.61
172,,,,,,892307.9,0.0,0.0,0.0,0.0,0.0,0.0,892307.9
173,,0100D_0804798JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,47406.94,47406.94,47406.94,-47406.94
174,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,3091.32,3091.32,3091.32,-3091.32
175,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-478.42,-478.42,-478.42,478.42
176,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,3993.77,3993.77,3993.77,-3993.77
177,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,714.55,714.55,714.55,-714.55
178,,,121.5-TSP,,,0.0,0.0,0.0,0.0,2525.57,2525.57,2525.57,-2525.57
179,,,121.6-FERS,,,0.0,0.0,0.0,0.0,9294.12,9294.12,9294.12,-9294.12
180,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,60.0,60.0,60.0,-60.0
181,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,3003.94,3003.94,3003.94,-3003.94
182,,,,,,157466.1,0.0,0.0,0.0,0.0,0.0,0.0,157466.1
183,NDU_CIVPAY_OPS_26 Total,,,,,1049774.0,0.0,0.0,0.0,362711.01,362711.01,362711.01,687062.99
184,NDU_CIVPAY_SEC_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,54603.22,54603.22,54603.22,-54603.22
185,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-3965.04,-3965.04,-3965.04,3965.04
186,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,3452.96,3452.96,3452.96,-3452.96
187,,,111.8-Other Leave Taken,,,0.0,0.0,0.0,0.0,307.5,307.5,307.5,-307.5
188,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-1137.27,-1137.27,-1137.27,1137.27
189,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,8589.74,8589.74,8589.74,-8589.74
190,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,712.73,712.73,712.73,-712.73
191,,,121.5-TSP,,,0.0,0.0,0.0,0.0,2667.42,2667.42,2667.42,-2667.42
192,,,121.6-FERS,,,0.0,0.0,0.0,0.0,9344.48,9344.48,9344.48,-9344.48
193,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,110.24,110.24,110.24,-110.24
194,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,3047.56,3047.56,3047.56,-3047.56
195,,,,,,314932.2,0.0,0.0,0.0,0.0,0.0,0.0,314932.2
196,NDU_CIVPAY_SEC_26 Total,,,,,314932.2,0.0,0.0,0.0,77733.54,77733.54,77733.54,237198.66
197,NDU_CSO_26,0100D_CSO_FRONT OFFICE_26,,,,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
198,NDU_CSO_26 Total,,,,,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
199,NDU_FED_26,0100D_FED_NORTH_26,254.24 Janitorial Service,,,0.0,0.0,23052.0,0.0,0.0,0.0,23052.0,-23052.0
200,,,,,,26000.0,0.0,0.0,0.0,0.0,0.0,0.0,26000.0
201,,0100D_FED_PLUSUP_26,254.20 O&M Buildings,,,0.0,54654.27,0.0,0.0,0.0,0.0,54654.27,-54654.27
202,,0100D_FED_SOUTH_26,254.22 O&M Grounds,,,0.0,17076.6,0.0,0.0,0.0,0.0,17076.6,-17076.6
203,,,260.A0 Materials & Parts,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,,0100D_OPS_26,,,,8474000.0,0.0,0.0,0.0,0.0,0.0,0.0,8474000.0
205,NDU_FED_26 Total,,,,,8500000.0,71730.87,23052.0,0.0,0.0,0.0,94782.87,8405217.13
206,NDU_HRD_26,0100D_OPS_26,,,,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0
207,NDU_HRD_26 Total,,,,,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0
208,NDU_ITD_26,0100D_OPS_26,233.11 Comm Circuits & Eqpmnt,,,0.0,130000.0,0.0,0.0,0.0,0.0,130000.0,-130000.0
209,,,233.20 IT Services,,,0.0,602564.0,0.0,0.0,0.0,0.0,602564.0,-602564.0
210,,,251.30 Engineering & Tech Srvc,,,0.0,0.0,1029013.0,0.0,0.0,0.0,1029013.0,-1029013.0
211,,,257.31 IT Contract Sppt Srvcs,,,0.0,0.0,1851509.04,0.0,0.0,0.0,1851509.04,-1851509.04
212,,,310.72 IT Software,,,0.0,196737.57,0.0,33278.22,0.0,33278.22,230015.79,-230015.79
213,,,,,,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0
214,NDU_ITD_26 Total,,,,,7000000.0,929301.57,2880522.04,33278.22,0.0,33278.22,3843101.83,3156898.17
215,NDU_OPS_26,0100D_LOGISTICS_26,220.10 Common Carrier Freight,,,0.0,0.0,730.42,0.0,0.0,0.0,730.42,-730.42
216,,,260.10 Office Supplies,,,0.0,4504.85,0.0,0.0,0.0,0.0,4504.85,-4504.85
217,,,,,,130000.0,0.0,0.0,0.0,0.0,0.0,0.0,130000.0
218,,0100D_TRANSPORTATION_26,210.41 GSA Vehicle Lease,,,0.0,0.0,10538.17,0.0,0.0,0.0,10538.17,-10538.17
219,NDU_OPS_26 Total,,,,,130000.0,4504.85,11268.59,0.0,0.0,0.0,15773.44,114226.56
220,NDU_SEC_26,0100D_OPS_26,253.20 Interagency Agreements,,,0.0,145000.0,0.0,0.0,0.0,0.0,145000.0,-145000.0
221,,,,,,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0
222,NDU_SEC_26 Total,,,,,500000.0,145000.0,0.0,0.0,0.0,0.0,145000.0,355000.0
223,,,,,,20226652.52,1150537.29,2914842.63,33278.22,1337783.36,1371061.58,5436441.5,14790211.02
224,NDU_AA_26,0100D_OPS_26,310.72 IT Software,,,0.0,15444.0,0.0,0.0,0.0,0.0,15444.0,-15444.0
225,,,,,,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0
226,,0100D_PRO_DEV_26,210.00 Trvl & Trans of Persons,,,0.0,0.0,5427.45,0.0,0.0,0.0,5427.45,-5427.45
227,NDU_AA_26 Total,,,,,30000.0,15444.0,5427.45,0.0,0.0,0.0,20871.45,9128.55
228,NDU_CIVPAY_AA_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,91097.26,91097.26,91097.26,-91097.26
229,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-23741.76,-23741.76,-23741.76,23741.76
230,,,111.3-Sick Leave Taken,,,0.0,0.0,0.0,0.0,987.7,987.7,987.7,-987.7
231,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,3874.8,3874.8,3874.8,-3874.8
232,,,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,111442.5,111442.5,111442.5,-111442.5
233,,,113.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-18642.52,-18642.52,-18642.52,18642.52
234,,,113.5-Admin Leave Taken,,,0.0,0.0,0.0,0.0,-274.84,-274.84,-274.84,274.84
235,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,3829.27,3829.27,3829.27,-3829.27
236,,,113.8-Other Leave Taken,,,0.0,0.0,0.0,0.0,671.68,671.68,671.68,-671.68
237,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-804.05,-804.05,-804.05,804.05
238,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,3961.17,3961.17,3961.17,-3961.17
239,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,1946.53,1946.53,1946.53,-1946.53
240,,,121.5-TSP,,,0.0,0.0,0.0,0.0,6617.59,6617.59,6617.59,-6617.59
241,,,121.6-FERS,,,0.0,0.0,0.0,0.0,23970.14,23970.14,23970.14,-23970.14
242,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,273.6,273.6,273.6,-273.6
243,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,6250.22,6250.22,6250.22,-6250.22
244,,,,,,682353.1,0.0,0.0,0.0,0.0,0.0,0.0,682353.1
245,NDU_CIVPAY_AA_26 Total,,,,,682353.1,0.0,0.0,0.0,211459.29,211459.29,211459.29,470893.81
246,NDU_CIVPAY_HF_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,61327.92,61327.92,61327.92,-61327.92
247,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-14398.12,-14398.12,-14398.12,14398.12
248,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,2247.84,2247.84,2247.84,-2247.84
249,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-698.79,-698.79,-698.79,698.79
250,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,3427.25,3427.25,3427.25,-3427.25
251,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,637.69,637.69,637.69,-637.69
