id,period name,main account code,fund,budget line item,bali,ba bsa bli,limit,project,gl organization,budget authority,commitments,obligations,expenditures,disbursements,funds available,oligation rate,expenditure rate,ledger name,dbscan labels,dbscan identifier,dbscan category,optics labels,optics identifier,optics category,hdbscan labels,hdbscan identifier,hdbscan category,total identifiers,total category
36,,,,,,,,NDU_CIVPAY_RMD_26,COS,849672.36,0.0,0.0,0.0,0.0,849672.36,0.0,0.0,TJS SET OF BOOKS,3,0,not anomaly,2,0,not anomaly,3,0,not anomaly,0,none
37,,,,,,,,NDU_CIVPAY_SEC_26,CSO,314932.2,0.0,0.0,0.0,0.0,314932.2,0.0,0.0,TJS SET OF BOOKS,2,0,not anomaly,4,0,not anomaly,0,0,not anomaly,0,none
38,,,,,,,,NDU_COS_26,COS,110000.0,104285.15,0.0,0.0,0.0,5714.85,0.0,0.0,TJS SET OF BOOKS,3,0,not anomaly,2,0,not anomaly,3,0,not anomaly,0,none
39,,,,,,,,NDU_CSO_26,CSO,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,TJS SET OF BOOKS,2,0,not anomaly,4,0,not anomaly,0,0,not anomaly,0,none
40,,,,,,,,NDU_ES_26,ES,900000.0,0.0,9366.25,0.0,0.0,890633.75,0.0104069444444444,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
41,,,,,,,,NDU_FED_26,CSO,8500000.0,71730.87,23052.0,0.0,0.0,8405217.13,0.002712,0.0,TJS SET OF BOOKS,2,0,not anomaly,4,0,not anomaly,0,0,not anomaly,0,none
42,,,,,,,,NDU_HF_26,AA,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
43,,,,,,,,NDU_HRD_26,CSO,150000.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,TJS SET OF BOOKS,2,0,not anomaly,4,0,not anomaly,0,0,not anomaly,0,none
44,,,,,,,,NDU_INSS_26,INSS,100000.0,0.0,17371.32,0.0,0.0,82628.68,0.1737132,0.0,TJS SET OF BOOKS,1,0,not anomaly,-1,1,anomaly,2,0,not anomaly,1,low
45,,,,,,,,NDU_ISMO_26,ISMO,40000.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
46,,,,,,,,NDU_ITD_26,CSO,7000000.0,929301.57,2880522.04,33278.22,33278.22,3156898.17,0.41625718,0.0047540314285714,TJS SET OF BOOKS,-1,1,anomaly,-1,1,anomaly,-1,1,anomaly,3,high
47,,,,,,,,NDU_JFSC_26,JFSC,470000.0,0.0,737.18,0.0,0.0,469262.82,0.0015684680851063,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
48,,,,,,,,NDU_LIB_26,AA,850000.0,0.0,0.0,0.0,0.0,850000.0,0.0,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
49,,,,,,,,NDU_NDUP_26,COS,25000.0,0.0,615.54,0.0,0.0,24384.46,0.0246216,0.0,TJS SET OF BOOKS,3,0,not anomaly,2,0,not anomaly,3,0,not anomaly,0,none
50,,,,,,,,NDU_NDWC_26,AA,50000.0,0.0,1426.81,0.0,0.0,48573.19,0.0285362,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
51,,,,,,,,NDU_NWC_26,NWC,70000.0,0.0,6963.38,0.0,0.0,63036.62,0.0994768571428571,0.0,TJS SET OF BOOKS,1,0,not anomaly,0,0,not anomaly,2,0,not anomaly,0,none
52,,,,,,,,NDU_OPS_26,CSO,130000.0,4504.85,11268.59,0.0,0.0,114226.56,0.0866814615384615,0.0,TJS SET OF BOOKS,2,0,not anomaly,4,0,not anomaly,0,0,not anomaly,0,none
53,,,,,,,,NDU_ORF_26,COS,25000.01,0.0,0.0,0.0,0.0,25000.01,0.0,0.0,TJS SET OF BOOKS,3,0,not anomaly,2,0,not anomaly,3,0,not anomaly,0,none
54,,,,,,,,NDU_PROC_26,COS,230000.0,225000.0,0.0,0.0,0.0,5000.0,0.0,0.0,TJS SET OF BOOKS,3,0,not anomaly,2,0,not anomaly,3,0,not anomaly,0,none
55,,,,,,,,NDU_RES_26,COS,2450220.0,0.0,0.0,0.0,0.0,2450220.0,0.0,0.0,TJS SET OF BOOKS,3,0,not anomaly,2,0,not anomaly,3,0,not anomaly,0,none
56,,,,,,,,NDU_RMD_26,COS,560000.0,0.0,300000.0,0.0,0.0,260000.0,0.535714285714286,0.0,TJS SET OF BOOKS,3,0,not anomaly,2,0,not anomaly,3,0,not anomaly,0,none
57,,,,,,,,NDU_SEC_26,CSO,500000.0,145000.0,0.0,0.0,0.0,355000.0,0.0,0.0,TJS SET OF BOOKS,2,0,not anomaly,4,0,not anomaly,0,0,not anomaly,0,none
58,,,9701002626D Total,,,,,,,41731220.0,2341560.25,3293738.56,33278.22,33278.22,36062642.97,0.0797248865477693,0.0007974418193381,,-1,1,anomaly,-1,1,anomaly,-1,1,anomaly,3,high
